,GroupSize,Age Group,CabinDeck,SplitFare,Pclass
0,1,0,A,,1
1,1,0,B,,1
2,1,0,C,,1
3,1,0,D,,1
4,1,0,E,,1
5,1,0,T,,1
6,1,0,Unknown,,1
7,1,1,A,,1
8,1,1,B,,1
9,1,1,C,,1
10,1,1,D,,1
11,1,1,E,,1
12,1,1,T,,1
13,1,1,Unknown,,1
14,1,2,A,32.8861,1
15,1,2,B,18.95,1
16,1,2,C,29.1578125,1
17,1,2,D,32.11386666666667,1
18,1,2,E,30.212499999999995,1
19,1,2,T,35.5,1
20,1,2,Unknown,23.75276666666667,1
21,1,3,A,34.6542,1
22,1,3,B,,1
23,1,3,C,,1
24,1,3,D,,1
25,1,3,E,,1
26,1,3,T,,1
27,1,3,Unknown,49.5042,1
28,2,0,A,,1
29,2,0,B,,1
30,2,0,C,,1
31,2,0,D,,1
32,2,0,E,,1
33,2,0,T,,1
34,2,0,Unknown,,1
35,2,1,A,,1
36,2,1,B,,1
37,2,1,C,,1
38,2,1,D,,1
39,2,1,E,,1
40,2,1,T,,1
41,2,1,Unknown,,1
42,2,2,A,26.0,1
43,2,2,B,27.237919999999995,1
44,2,2,C,31.896874999999998,1
45,2,2,D,34.6125,1
46,2,2,E,28.15625,1
47,2,2,T,,1
48,2,2,Unknown,26.337500000000002,1
49,2,3,A,,1
50,2,3,B,35.5,1
51,2,3,C,,1
52,2,3,D,,1
53,2,3,E,,1
54,2,3,T,,1
55,2,3,Unknown,,1
56,3,0,A,,1
57,3,0,B,,1
58,3,0,C,,1
59,3,0,D,,1
60,3,0,E,,1
61,3,0,T,,1
62,3,0,Unknown,,1
63,3,1,A,,1
64,3,1,B,,1
65,3,1,C,,1
66,3,1,D,,1
67,3,1,E,,1
68,3,1,T,,1
69,3,1,Unknown,,1
70,3,2,A,,1
71,3,2,B,82.50693333333334,1
72,3,2,C,35.8425,1
73,3,2,D,37.75833333333333,1
74,3,2,E,26.55,1
75,3,2,T,,1
76,3,2,Unknown,,1
77,3,3,A,,1
78,3,3,B,,1
79,3,3,C,,1
80,3,3,D,,1
81,3,3,E,,1
82,3,3,T,,1
83,3,3,Unknown,,1
84,4,0,A,,1
85,4,0,B,,1
86,4,0,C,,1
87,4,0,D,,1
88,4,0,E,,1
89,4,0,T,,1
90,4,0,Unknown,,1
91,4,1,A,,1
92,4,1,B,,1
93,4,1,C,,1
94,4,1,D,,1
95,4,1,E,,1
96,4,1,T,,1
97,4,1,Unknown,,1
98,4,2,A,,1
99,4,2,B,,1
100,4,2,C,41.5828125,1
101,4,2,D,,1
102,4,2,E,,1
103,4,2,T,,1
104,4,2,Unknown,33.908325,1
105,4,3,A,,1
106,4,3,B,,1
107,4,3,C,,1
108,4,3,D,,1
109,4,3,E,,1
110,4,3,T,,1
111,4,3,Unknown,,1
112,5,0,A,,1
113,5,0,B,,1
114,5,0,C,,1
115,5,0,D,,1
116,5,0,E,,1
117,5,0,T,,1
118,5,0,Unknown,,1
