,Fare,Name,Age Group,Pclass,Sex,Survived,GroupSize,CabinDeck
0,7.25,"Braund, Mr. Owen Harris",2,3,0,0.0,1,F
1,71.2833,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",2,1,1,1.0,2,C
2,7925,"Heikkinen, Miss. Laina",2,3,1,1.0,1,F
3,53.1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",2,1,1,1.0,2,C
4,8.05,"Allen, Mr. William Henry",2,3,0,0.0,1,F
5,8.4583,"Moran, Mr. James",2,3,0,0.0,1,F
6,51.8625,"McCarthy, Mr. Timothy J",2,1,0,0.0,2,E
7,21075,"Palsson, Master. Gosta Leonard",0,3,0,0.0,5,G
8,11.1333,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,3,1,1.0,3,G
9,30.0708,"Nasser, Mrs. Nicholas (Adele Achem)",1,2,1,1.0,2,D
10,16.7,"Sandstrom, Miss. Marguerite Rut",1,3,1,1.0,3,G
11,26.55,"Bonnell, Miss. Elizabeth",2,1,1,1.0,1,C
12,8.05,"Saundercock, Mr. William Henry",2,3,0,0.0,1,F
13,31275,"Andersson, Mr. Anders Johan",2,3,0,0.0,7,G
14,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",1,3,1,0.0,1,F
15,16.0,"Hewlett, Mrs. (Mary D Kingcome) ",2,2,1,1.0,1,D
16,29125,"Rice, Master. Eugene",0,3,0,0.0,6,G
17,13.0,"Williams, Mr. Charles Eugene",2,2,0,1.0,1,F
18,18.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",2,3,1,0.0,2,E
19,7225,"Masselmani, Mrs. Fatima",2,3,1,1.0,1,E
20,26.0,"Fynney, Mr. Joseph J",2,2,0,0.0,2,F
21,13.0,"Beesley, Mr. Lawrence",2,2,0,1.0,1,D
22,8.0292,"McGowan, Miss. Anna ""Annie""",1,3,1,1.0,1,F
23,35.5,"Sloper, Mr. William Thompson",2,1,0,1.0,1,A
24,21075,"Palsson, Miss. Torborg Danira",1,3,1,0.0,5,G
25,31.3875,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",2,3,1,1.0,7,G
26,7225,"Emir, Mr. Farred Chehab",2,3,0,0.0,1,F
27,263.0,"Fortune, Mr. Charles Alexander",2,1,0,0.0,6,C
28,7.8792,"O'Dwyer, Miss. Ellen ""Nellie""",2,3,1,1.0,1,F
29,7.8958,"Todoroff, Mr. Lalio",2,3,0,0.0,1,F
30,27.7208,"Uruchurtu, Don. Manuel E",2,1,0,0.0,1,C
31,146.5208,"Spencer, Mrs. William Augustus (Marie Eugenie)",2,1,1,1.0,3,B
32,7.75,"Glynn, Miss. Mary Agatha",2,3,1,1.0,1,F
33,10.5,"Wheadon, Mr. Edward H",3,2,0,0.0,1,G
34,82.1708,"Meyer, Mr. Edgar Joseph",2,1,0,0.0,2,A
35,52.0,"Holverson, Mr. Alexander Oskar",2,1,0,0.0,2,A
36,7.2292,"Mamee, Mr. Hanna",2,3,0,1.0,1,E
37,8.05,"Cann, Mr. Ernest Charles",2,3,0,0.0,1,F
38,18.0,"Vander Planke, Miss. Augusta Maria",2,3,1,0.0,2,E
39,11.2417,"Nicola-Yarred, Miss. Jamila",1,3,1,1.0,2,G
40,9475,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",2,3,1,0.0,1,E
41,21.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,2,1,0.0,2,G
42,7.8958,"Kraeff, Mr. Theodor",2,3,0,0.0,1,F
43,41.5792,"Laroche, Miss. Simonne Marie Anne Andree",1,2,1,1.0,4,F
44,7.8792,"Devaney, Miss. Margaret Delia",2,3,1,1.0,1,F
45,8.05,"Rogers, Mr. William John",2,3,0,0.0,1,F
46,15.5,"Lennon, Mr. Denis",2,3,0,0.0,2,F
47,7.75,"O'Driscoll, Miss. Bridget",2,3,1,1.0,1,F
48,21.6792,"Samaan, Mr. Youssef",2,3,0,0.0,3,F
49,17.8,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",2,3,1,0.0,2,E
50,39.6875,"Panula, Master. Juha Niilo",1,3,0,0.0,7,G
51,7.8,"Nosworthy, Mr. Richard Cater",2,3,0,0.0,1,F
52,76.7292,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",2,1,1,1.0,3,D
53,26.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,2,1,1.0,2,F
54,61.9792,"Ostby, Mr. Engelhart Cornelius",2,1,0,0.0,2,B
55,35.5,"Woolner, Mr. Hugh",2,1,0,1.0,1,C
56,10.5,"Rugg, Miss. Emily",2,2,1,1.0,1,F
57,7.2292,"Novel, Mr. Mansouer",2,3,0,0.0,1,F
58,27.75,"West, Miss. Constance Mirium",1,2,1,1.0,4,G
59,46.9,"Goodwin, Master. William Frederick",1,3,0,0.0,8,G
60,7.2292,"Sirayanian, Mr. Orsen",2,3,0,0.0,1,F
61,80.0,"Icard, Miss. Amelie",2,1,1,1.0,2,B
62,83475,"Harris, Mr. Henry Birkhardt",2,1,0,0.0,2,C
63,27.9,"Skoog, Master. Harald",1,3,0,0.0,6,G
64,27.7208,"Stewart, Mr. Albert A",2,1,0,0.0,1,C
65,15.2458,"Moubarek, Master. Gerios",2,3,0,1.0,3,G
66,10.5,"Nye, Mrs. (Elizabeth Ramell)",2,2,1,1.0,1,F
67,8.1583,"Crease, Mr. Ernest James",2,3,0,0.0,1,F
68,7925,"Andersson, Miss. Erna Alexandra",1,3,1,1.0,1,F
69,8.6625,"Kink, Mr. Vincenz",2,3,0,0.0,1,E
70,10.5,"Jenkin, Mr. Stephen Curnow",2,2,0,0.0,1,F
71,46.9,"Goodwin, Miss. Lillian Amy",1,3,1,0.0,8,G
72,73.5,"Hood, Mr. Ambrose Jr",2,2,0,0.0,7,Unknown
73,14.4542,"Chronopoulos, Mr. Apostolos",2,3,0,0.0,2,F
74,56.4958,"Bing, Mr. Lee",2,3,0,1.0,8,Unknown
75,7.65,"Moen, Mr. Sigurd Hansen",2,3,0,0.0,1,F
76,7.8958,"Staneff, Mr. Ivan",2,3,0,0.0,1,F
77,8.05,"Moutal, Mr. Rahamin Haim",2,3,0,0.0,1,F
78,29.0,"Caldwell, Master. Alden Gates",0,2,0,1.0,3,F
79,12475,"Dowdell, Miss. Elizabeth",2,3,1,1.0,2,G
80,9.0,"Waelens, Mr. Achille",2,3,0,0.0,1,E
81,9.5,"Sheerlinck, Mr. Jan Baptist",2,3,0,1.0,1,F
82,7.7875,"McDermott, Miss. Brigdet Delia",2,3,1,1.0,1,F
