,GroupSize,Pclass,Age Group,CabinDeck,MeanFareSurv,StdFareSurv,MeanFareNotSurv,StdFareNotSurv,MeanFareUnk,StdFareUnk,MatchingFound
0,1,1,2,A,35.4,3.51283361405006,39.463319999999996,11.082705594393458,35.4,3.51283361405006,
1,1,1,2,B,34.4302,10.11909193027385,29.916666666666668,3.480062259979459,34.4302,10.11909193027385,
2,1,1,2,C,32.350525,7.472416662394339,29.1578125,2.737071374630451,32.350525,7.472416662394339,
3,1,1,2,D,27.035425,1.983419979689962,32.11386666666667,2.018371673734383,27.035425,1.983419979689962,
4,1,1,2,E,26.391666666666666,0.12861441080480365,30.212499999999995,7.193302006033113,26.391666666666666,0.12861441080480365,
6,1,1,3,A,30.0,2.0,34.6542,2.0,30.0,2.0,
7,2,1,1,B,28.744799999999998,0.346199480068932,29.916666666666668,3.480062259979459,28.744799999999998,0.346199480068932,1.0
8,2,1,1,D,19.7,2.0,32.11386666666667,2.018371673734383,19.7,2.0,1.0
9,2,1,2,A,28.4646,,26.0,,28.4646,,
10,2,1,2,B,37.29688,5.9576250594044975,34.047399999999996,6.727394768655497,37.29688,5.9576250594044975,
11,2,1,2,C,35.824813636363636,8.61890285982186,31.896874999999998,7.35229821637425,35.824813636363636,8.61890285982186,
12,2,1,2,D,32.27547222222222,0.5,34.6125,6.982329818012034,32.27547222222222,6.181483657621724,
13,2,1,2,E,27.462207142857146,0.7043590209240909,28.15625,2.334966876103385,27.462207142857146,0.7043590209240909,
15,3,1,1,A,27.2861,,39.463319999999996,11.082705594393458,27.2861,,1.0
16,3,1,1,B,28.833333333333332,,29.916666666666668,3.480062259979459,28.833333333333332,,1.0
17,3,1,1,C,36.300000000000004,,29.1578125,2.737071374630451,36.300000000000004,,1.0
18,3,1,2,B,47.57082666666667,21.942776816559327,82.50693333333334,,47.57082666666667,21.942776816559327,
19,3,1,2,C,37.54944,12.454208945136225,35.8425,9.49083732109847,37.54944,12.454208945136225,
20,3,1,2,D,28.77552083333333,5.5475550456989176,37.75833333333333,7.0,28.77552083333333,5.5475550456989176,
21,3,1,2,E,26.939811111111112,0.6751726497993192,26.55,,26.939811111111112,0.6751726497993192,
23,4,1,1,B,37.61145833333333,13.183432553026861,29.916666666666668,3.480062259979459,37.61145833333333,13.183432553026861,1.0
24,4,1,1,C,27.720825,,29.1578125,2.737071374630451,27.720825,,1.0
25,4,1,2,B,58.57291875,44.464400323193445,29.916666666666668,3.480062259979459,58.57291875,44.464400323193445,1.0
26,4,1,2,C,34.1885375,5.51915029063578,41.5828125,19.603810723946314,34.1885375,5.51915029063578,
28,5,1,2,C,45.505,0.0,42.3,,45.505,0.0,
29,5,1,2,E,26.9,0.0,30.212499999999995,7.193302006033113,26.9,0.0,1.0
31,6,1,0,C,25.258333333333336,,25.258333333333336,,25.258333333333336,,
32,6,1,2,C,43.833333333333336,0.0,37.64166666666667,10.724281250197297,43.833333333333336,0.0,
34,7,1,2,B,37.482142857142854,0.0,29.916666666666668,3.480062259979459,37.482142857142854,0.0,1.0
36,1,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
37,1,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,1.0
38,1,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
40,2,2,0,G,7.25,1.0,7.255,1.0,7.255,1.0,
43,3,2,0,F,8.666666666666666,,8.666666666666666,1.2,8.666666666666666,1.2,
45,3,2,1,F,8.666666666666666,,,,8.666666666666666,,
48,4,2,0,F,9.75,,,,9.75,,
49,4,2,1,F,9.75,,,,9.75,,
54,1,3,2,E,8.05,,,,8.05,,
57,2,3,1,E,6.2375,,,,6.2375,,
59,2,3,2,E,6.2375,,,,6.2375,,
62,3,3,1,G,5.566666666666666,,5.23125,,5.566666666666666,,1.0
64,3,3,2,F,7.452766666666666,,7.675000000000001,0.04999999999999968,7.452766666666666,,1.0
65,3,3,2,G,5.566666666666666,,5.23125,,5.566666666666666,,1.0
73,1,1,2,T,,,35.5,,,,
75,2,1,3,B,34.4302,10.11909193027385,35.5,,34.4302,10.11909193027385,2.2
77,2,2,2,E,11.950000000000001,1.2971121771072855,5.25,,11.950000000000001,1.2971121771072855,2.2
78,3,2,2,F,11.333333333333334,1.4433756729740645,8.666666666666666,,11.333333333333334,1.4433756729740645,2.2
80,1,3,2,F,7.452766666666666,,7.675000000000001,0.04999999999999968,7.452766666666666,,2.2
82,2,3,0,G,5.566666666666666,,5.23125,,5.566666666666666,,2.2
83,2,3,2,G,5.566666666666666,,5.23125,,5.566666666666666,,2.2
0,2,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,2,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,2,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,2,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,2,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,2,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,2,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,2,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,0,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,0,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,0,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,3,2,0,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
