[CV 1/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.744;time;0.1s
[CV 2/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.753;time;0.2s
[CV 3/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.753;time;0.1s
[CV 4/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.831;time;0.2s
[CV 5/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.809;time;0.1s
[CV 6/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.787;time;0.2s
[CV 7/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.809;time;0.1s
[CV 8/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.753;time;0.1s
[CV 9/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.820;time;0.1s
[CV 10/10] END bootstrap;True; criterion;gini; max_depth;13; max_features;log2; min_impurity_decrease;0.02; min_samples_split;4; n_estimators;300;;score;0.775;time;0.2s
[CV 1/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.744;time;0.2s
[CV 2/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.742;time;0.2s
[CV 3/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.764;time;0.2s
[CV 4/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.831;time;0.2s
[CV 5/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.820;time;0.2s
[CV 6/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.798;time;0.2s
[CV 7/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.809;time;0.2s
[CV 8/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.764;time;0.2s
[CV 9/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.820;time;0.2s
[CV 10/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.02; min_samples_split;6; n_estimators;400;;score;0.775;time;0.2s
[CV 1/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.811;time;0.2s
[CV 2/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.798;time;0.3s
[CV 3/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.764;time;0.2s
[CV 4/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.843;time;0.2s
[CV 5/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.798;time;0.2s
[CV 6/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.775;time;0.2s
[CV 7/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.764;time;0.2s
[CV 8/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.742;time;0.2s
[CV 9/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.809;time;0.2s
[CV 10/10] END bootstrap;False; criterion;gini; max_depth;12; max_features;sqrt; min_impurity_decrease;0.02; min_samples_split;3; n_estimators;450;;score;0.764;time;0.2s
[CV 1/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.611;time;0.2s
[CV 2/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 3/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 4/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 5/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 6/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 7/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 8/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 9/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.618;time;0.2s
[CV 10/10] END bootstrap;False; criterion;entropy; max_depth;16; max_features;log2; min_impurity_decrease;0.1; min_samples_split;10; n_estimators;450;;score;0.607;time;0.2s
[CV 1/10] END bootstrap;True; criterion;gini; max_depth;10; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;5; n_estimators;500;;score;0.611;time;0.3s
[CV 2/10] END bootstrap;True; criterion;gini; max_depth;10; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;5; n_estimators;500;;score;0.618;time;0.3s
[CV 3/10] END bootstrap;True; criterion;gini; max_depth;10; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;5; n_estimators;500;;score;0.618;time;0.3s
[CV 4/10] END bootstrap;True; criterion;gini; max_depth;10; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;5; n_estimators;500;;score;0.618;time;0.3s
[CV 5/10] END bootstrap;True; criterion;gini; max_depth;10; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;5; n_estimators;500;;score;0.618;time;0.3s
